season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2013,Pac-12 Conference,"Wed, Jan 2, 2013",Arizona State,,Utah,,55,54,N
2013,Pac-12 Conference,"Thu, Jan 3, 2013",Arizona,,Colorado,,92,83,N
2013,Pac-12 Conference,"Thu, Jan 3, 2013",Southern California,,Stanford,,71,69,N
2013,Pac-12 Conference,"Thu, Jan 3, 2013",UCLA,,California,,79,65,N
2013,Pac-12 Conference,"Sat, Jan 5, 2013",Arizona,,Utah,,60,57,N
2013,Pac-12 Conference,"Sat, Jan 5, 2013",Southern California,,California,,64,72,N
2013,Pac-12 Conference,"Sat, Jan 5, 2013",UCLA,,Stanford,,68,60,N
2013,Pac-12 Conference,"Sat, Jan 5, 2013",Washington State,,Washington,,63,68,N
2013,Pac-12 Conference,"Sun, Jan 6, 2013",Arizona State,,Colorado,,65,56,N
2013,Pac-12 Conference,"Sun, Jan 6, 2013",Oregon State,,Oregon,,66,79,N
2013,Pac-12 Conference,"Wed, Jan 9, 2013",California,,Washington,,47,62,N
2013,Pac-12 Conference,"Wed, Jan 9, 2013",Stanford,,Washington State,,78,67,N
2013,Pac-12 Conference,"Thu, Jan 10, 2013",Colorado,,Southern California,,66,60,N
2013,Pac-12 Conference,"Thu, Jan 10, 2013",Oregon,,Arizona,,70,66,N
2013,Pac-12 Conference,"Thu, Jan 10, 2013",Oregon State,,Arizona State,,62,72,N
2013,Pac-12 Conference,"Thu, Jan 10, 2013",Utah,,UCLA,,53,57,N
2013,Pac-12 Conference,"Sat, Jan 12, 2013",California,,Washington State,,67,54,N
2013,Pac-12 Conference,"Sat, Jan 12, 2013",Colorado,,UCLA,,75,78,N
2013,Pac-12 Conference,"Sat, Jan 12, 2013",Oregon State,,Arizona,,70,80,N
2013,Pac-12 Conference,"Sat, Jan 12, 2013",Stanford,,Washington,,60,65,N
2013,Pac-12 Conference,"Sat, Jan 12, 2013",Utah,,Southern California,,59,76,N
2013,Pac-12 Conference,"Sun, Jan 13, 2013",Oregon,,Arizona State,,68,65,N
2013,Pac-12 Conference,"Wed, Jan 16, 2013",Washington,,Colorado,,64,54,N
2013,Pac-12 Conference,"Wed, Jan 16, 2013",Washington State,,Utah,,75,65,N
2013,Pac-12 Conference,"Thu, Jan 17, 2013",Southern California,,Oregon,,74,76,N
2013,Pac-12 Conference,"Thu, Jan 17, 2013",UCLA,,Oregon State,,74,64,N
2013,Pac-12 Conference,"Sat, Jan 19, 2013",Arizona State,,Arizona,,54,71,N
2013,Pac-12 Conference,"Sat, Jan 19, 2013",Southern California,,Oregon State,,69,68,N
2013,Pac-12 Conference,"Sat, Jan 19, 2013",Stanford,,California,,69,59,N
2013,Pac-12 Conference,"Sat, Jan 19, 2013",UCLA,,Oregon,,67,76,N
2013,Pac-12 Conference,"Sat, Jan 19, 2013",Washington,,Utah,,65,74,N
2013,Pac-12 Conference,"Sat, Jan 19, 2013",Washington State,,Colorado,,49,58,N
2013,Pac-12 Conference,"Wed, Jan 23, 2013",Oregon,,Washington State,,68,61,N
2013,Pac-12 Conference,"Wed, Jan 23, 2013",Oregon State,,Washington,,74,66,N
2013,Pac-12 Conference,"Thu, Jan 24, 2013",Arizona,,UCLA,,73,84,N
2013,Pac-12 Conference,"Thu, Jan 24, 2013",Arizona State,,Southern California,,98,93,N
2013,Pac-12 Conference,"Thu, Jan 24, 2013",Colorado,,Stanford,,75,54,N
