season,conference,date,home_team,home_rank,away_team,away_rank,home_score,away_score,neutral
2009,West Coast Conference,"Fri, Jan 9, 2009",Saint Mary's,,Santa Clara,,,,N
2009,West Coast Conference,"Fri, Jan 9, 2009",San Francisco,,San Diego,,,,N
2009,West Coast Conference,"Sat, Jan 10, 2009",Gonzaga,,Portland,,,,N
2009,West Coast Conference,"Sat, Jan 10, 2009",Pepperdine,,Loyola Marymount,,,,N
2009,West Coast Conference,"Sun, Jan 11, 2009",San Francisco,,Saint Mary's,,,,N
2009,West Coast Conference,"Sun, Jan 11, 2009",Santa Clara,,San Diego,,,,N
2009,West Coast Conference,"Thu, Jan 15, 2009",Gonzaga,,Santa Clara,,,,N
2009,West Coast Conference,"Thu, Jan 15, 2009",Portland,,San Francisco,,,,N
2009,West Coast Conference,"Thu, Jan 15, 2009",Saint Mary's,,Loyola Marymount,,,,N
2009,West Coast Conference,"Thu, Jan 15, 2009",San Diego,,Pepperdine,,,,N
2009,West Coast Conference,"Sat, Jan 17, 2009",Gonzaga,,San Francisco,,,,N
2009,West Coast Conference,"Sat, Jan 17, 2009",Portland,,Santa Clara,,,,N
2009,West Coast Conference,"Sat, Jan 17, 2009",Saint Mary's,,Pepperdine,,,,N
2009,West Coast Conference,"Sat, Jan 17, 2009",San Diego,,Loyola Marymount,,,,N
2009,West Coast Conference,"Thu, Jan 22, 2009",Loyola Marymount,,Portland,,,,N
2009,West Coast Conference,"Thu, Jan 22, 2009",Pepperdine,,Gonzaga,,,,N
2009,West Coast Conference,"Thu, Jan 22, 2009",San Diego,,Saint Mary's,,,,N
2009,West Coast Conference,"Fri, Jan 23, 2009",Santa Clara,,San Francisco,,,,N
2009,West Coast Conference,"Sat, Jan 24, 2009",Loyola Marymount,,Gonzaga,,,,N
2009,West Coast Conference,"Sat, Jan 24, 2009",Pepperdine,,Portland,,,,N
2009,West Coast Conference,"Thu, Jan 29, 2009",Gonzaga,,Saint Mary's,,,,N
2009,West Coast Conference,"Thu, Jan 29, 2009",Portland,,San Diego,,,,N
2009,West Coast Conference,"Thu, Jan 29, 2009",San Francisco,,Pepperdine,,,,N
2009,West Coast Conference,"Thu, Jan 29, 2009",Santa Clara,,Loyola Marymount,,,,N
2009,West Coast Conference,"Sat, Jan 31, 2009",Gonzaga,,San Diego,,,,N
2009,West Coast Conference,"Sat, Jan 31, 2009",Portland,,Saint Mary's,,,,N
2009,West Coast Conference,"Sat, Jan 31, 2009",San Francisco,,Loyola Marymount,,,,N
2009,West Coast Conference,"Sat, Jan 31, 2009",Santa Clara,,Pepperdine,,,,N
2009,West Coast Conference,"Thu, Feb 5, 2009",Portland,,Gonzaga,,,,N
2009,West Coast Conference,"Thu, Feb 5, 2009",Saint Mary's,,San Francisco,,,,N
2009,West Coast Conference,"Thu, Feb 5, 2009",San Diego,,Santa Clara,,,,N
2009,West Coast Conference,"Sat, Feb 7, 2009",Loyola Marymount,,Pepperdine,,,,N
2009,West Coast Conference,"Sat, Feb 7, 2009",San Diego,,San Francisco,,,,N
2009,West Coast Conference,"Sat, Feb 7, 2009",Santa Clara,,Saint Mary's,,,,N
2009,West Coast Conference,"Thu, Feb 12, 2009",Loyola Marymount,,San Diego,,,,N
2009,West Coast Conference,"Thu, Feb 12, 2009",Pepperdine,,Santa Clara,,,,N
2009,West Coast Conference,"Thu, Feb 12, 2009",Saint Mary's,,Gonzaga,,,,N
2009,West Coast Conference,"Thu, Feb 12, 2009",San Francisco,,Portland,,,,N
2009,West Coast Conference,"Sat, Feb 14, 2009",Loyola Marymount,,Santa Clara,,,,N
2009,West Coast Conference,"Sat, Feb 14, 2009",Pepperdine,,San Diego,,,,N
2009,West Coast Conference,"Sat, Feb 14, 2009",Saint Mary's,,Portland,,,,N
2009,West Coast Conference,"Sat, Feb 14, 2009",San Francisco,,Gonzaga,,,,N
2009,West Coast Conference,"Thu, Feb 19, 2009",Gonzaga,,Loyola Marymount,,,,N
2009,West Coast Conference,"Thu, Feb 19, 2009",Portland,,Pepperdine,,,,N
2009,West Coast Conference,"Thu, Feb 19, 2009",Saint Mary's,,San Diego,,,,N
2009,West Coast Conference,"Sat, Feb 21, 2009",Gonzaga,,Pepperdine,,,,N
2009,West Coast Conference,"Sat, Feb 21, 2009",Portland,,Loyola Marymount,,,,N
2009,West Coast Conference,"Sat, Feb 21, 2009",San Francisco,,Santa Clara,,,,N
2009,West Coast Conference,"Thu, Feb 26, 2009",Loyola Marymount,,San Francisco,,,,N
2009,West Coast Conference,"Thu, Feb 26, 2009",Pepperdine,,Saint Mary's,,,,N
2009,West Coast Conference,"Thu, Feb 26, 2009",San Diego,,Portland,,,,N
2009,West Coast Conference,"Thu, Feb 26, 2009",Santa Clara,,Gonzaga,,,,N
2009,West Coast Conference,"Sat, Feb 28, 2009",Loyola Marymount,,Saint Mary's,,,,N
2009,West Coast Conference,"Sat, Feb 28, 2009",Pepperdine,,San Francisco,,,,N
2009,West Coast Conference,"Sat, Feb 28, 2009",San Diego,,Gonzaga,,,,N
2009,West Coast Conference,"Sat, Feb 28, 2009",Santa Clara,,Portland,,,,N
2009,West Coast Conference,"Fri, Mar 6, 2009",Loyola Marymount,,San Diego,,,,N
2009,West Coast Conference,"Fri, Mar 6, 2009",San Francisco,,Pepperdine,,,,N
2009,West Coast Conference,"Sat, Mar 7, 2009",Pepperdine,,Portland,,,,N
2009,West Coast Conference,"Sat, Mar 7, 2009",San Diego,,Santa Clara,,,,N
2009,West Coast Conference,"Sun, Mar 8, 2009",Portland,,Saint Mary's,,,,N
2009,West Coast Conference,"Sun, Mar 8, 2009",Santa Clara,,Gonzaga,,,,N
